RUNTIMES, PLATFORM, TIMES, MS, TIMES/S, N, COMPLITE,
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), shaker, 41, 5097, 8.04394742005101, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), comb, 5138, 5000, 1027.6000000000001, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), fshell, 81, 5060, 16.007905138339922, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), heap, 4125, 5000, 825, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), merge, 4072, 5000, 814.4, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), quick, 6024, 5000, 1204.8000000000002, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bucket, 6893, 5000, 1378.6000000000001, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), radix, 2084, 5001, 416.71665666866625, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), pigeon, 25947, 5000, 5189.4, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bogo, 8, 6767, 1.1822077730161076, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), sleep, 2, 9915, 0.20171457387796268, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), native, 3992, 5000, 798.4, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bubble, 19, 5144, 3.6936236391912907, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), select, 23, 5222, 4.404442742244351, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), insert, 2, 8035, 0.2489110143123833, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), gnome, 2, 8013, 0.2495944090852365, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), shaker, 17, 5126, 3.316426063207179, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), comb, 2600, 5002, 519.7920831667333, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), fshell, 1, 12669, 0.07893282816323308, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), heap, 581, 5005, 116.08391608391608, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), merge, 1532, 5002, 306.2774890043982, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), quick, 1753, 5000, 350.6, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bucket, 2299, 5000, 459.8, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), radix, 630, 5000, 126.0, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), pigeon, 18224, 5000, 3644.8, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bogo, 5, 5326, 0.938790837401427, True
