RUNTIMES, PLATFORM, TIMES, MS, TIMES/S, N, COMPLITE,
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), comb, 40, 5081, 7.87246604999016, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), fshell, 1, 13233, 0.07556865412227008, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), heap, 28, 5156, 5.430566330488752, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), merge, 33, 5000, 6.6, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), quick, 70, 5000, 14.0, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bucket, 383, 5003, 76.55406755946433, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), radix, 19, 5276, 3.601213040181956, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), pigeon, 362, 5005, 72.32767232767233, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bogo, 1, 160551, 0.006228550429458552, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), sleep, 2, 9914, 0.2017349203147065, True
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), native, 714, 5000, 142.8, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bubble, 8, 5484, 1.4587892049598834, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), select, 8, 5588, 1.4316392269148175, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), insert, 24, 5173, 4.639474192924802, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), gnome, 14, 5237, 2.673286232575902, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), shaker, 8, 5146, 1.554605518849592, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), comb, 1334, 5003, 266.64001599040574, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), fshell, 9, 5045, 1.78394449950446, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), heap, 713, 5000, 142.6, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), merge, 816, 5005, 163.03696303696304, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), quick, 1516, 5001, 303.1393721255749, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bucket, 1075, 5001, 214.95700859828034, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), radix, 539, 5009, 107.60630864444002, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), pigeon, 7157, 5000, 1431.4, true
